Alternatives,$COMET_{rank}$,$COCOSO_{rank}$,$EDAS_{rank}$,$MAIRCA_{rank}$,$MABAC_{rank}$
1.0,10.0,6.0,10.0,11.0,11.0
2.0,14.0,14.0,14.0,14.0,14.0
3.0,11.5,7.5,5.5,6.5,6.5
4.0,7.0,9.0,8.0,9.0,9.0
5.0,13.0,13.0,13.0,13.0,13.0
6.0,1.0,4.0,1.0,1.0,1.0
7.0,8.0,10.0,12.0,10.0,10.0
8.0,18.0,18.0,19.0,17.0,17.0
9.0,6.0,11.0,9.0,8.0,8.0
10.0,11.5,7.5,5.5,6.5,6.5
11.0,15.0,15.0,16.0,15.0,15.0
12.0,5.0,5.0,7.0,5.0,5.0
13.0,3.5,2.5,3.5,3.5,3.5
14.0,16.0,16.0,18.0,16.0,16.0
15.0,19.0,17.0,20.0,18.0,18.0
16.0,17.0,19.0,17.0,19.0,19.0
17.0,2.0,1.0,2.0,2.0,2.0
18.0,20.0,20.0,15.0,20.0,20.0
19.0,9.0,12.0,11.0,12.0,12.0
20.0,3.5,2.5,3.5,3.5,3.5
